Epoch,Tot_Epochs,Iter,Tot_Iters,loss,Elapsed_time,val0_tr1
7, 10, 80, 311, 0.1501, 3:37:23.561797, 0
7, 10, 90, 311, 0.1279, 3:37:55.581674, 0
7, 10, 100, 311, 0.1412, 3:38:21.234149, 0
7, 10, 110, 311, 0.1329, 3:38:51.528348, 0
8, 10, 10, 311, 0.1732, 3:40:15.276226, 1
8, 10, 20, 311, 0.1704, 3:41:11.363884, 1
8, 10, 30, 311, 0.1646, 3:42:07.499123, 1
8, 10, 40, 311, 0.1714, 3:43:03.418295, 1
8, 10, 50, 311, 0.1496, 3:43:59.477691, 1
8, 10, 60, 311, 0.1564, 3:44:55.166510, 1
8, 10, 70, 311, 0.1652, 3:45:51.342153, 1
8, 10, 80, 311, 0.1661, 3:46:47.687499, 1
8, 10, 90, 311, 0.1767, 3:47:44.124643, 1
8, 10, 100, 311, 0.1553, 3:48:40.804501, 1
8, 10, 110, 311, 0.1505, 3:49:37.553767, 1
8, 10, 120, 311, 0.1564, 3:50:34.332240, 1
8, 10, 130, 311, 0.1633, 3:51:30.810494, 1
8, 10, 140, 311, 0.1609, 3:52:27.849280, 1
8, 10, 150, 311, 0.1640, 3:53:24.737949, 1
8, 10, 160, 311, 0.1539, 3:54:21.137864, 1
8, 10, 170, 311, 0.1659, 3:55:17.797661, 1
8, 10, 180, 311, 0.1555, 3:56:15.128939, 1
8, 10, 190, 311, 0.1561, 3:57:12.122859, 1
8, 10, 200, 311, 0.1508, 3:58:10.039370, 1
8, 10, 210, 311, 0.1565, 3:59:06.922616, 1
8, 10, 220, 311, 0.1387, 4:00:04.186465, 1
8, 10, 230, 311, 0.1504, 4:01:01.088681, 1
8, 10, 240, 311, 0.1707, 4:01:58.386277, 1
8, 10, 250, 311, 0.1387, 4:02:55.259672, 1
8, 10, 260, 311, 0.1490, 4:03:52.190078, 1
8, 10, 270, 311, 0.1624, 4:04:49.055436, 1
8, 10, 280, 311, 0.1443, 4:05:46.229526, 1
8, 10, 290, 311, 0.1573, 4:06:43.472097, 1
8, 10, 300, 311, 0.1522, 4:07:40.033476, 1
8, 10, 310, 311, 0.1569, 4:08:36.907228, 1
8, 10, 10, 311, 0.1128, 4:09:13.908884, 0
8, 10, 20, 311, 0.1231, 4:09:44.928744, 0
8, 10, 30, 311, 0.1385, 4:10:16.776081, 0
8, 10, 40, 311, 0.1338, 4:10:48.922026, 0
8, 10, 50, 311, 0.1360, 4:11:19.953081, 0
8, 10, 60, 311, 0.1444, 4:11:50.767602, 0
8, 10, 70, 311, 0.1389, 4:12:22.646716, 0
8, 10, 80, 311, 0.1328, 4:12:53.477564, 0
8, 10, 90, 311, 0.1211, 4:13:24.679129, 0
8, 10, 100, 311, 0.1372, 4:13:55.870790, 0
8, 10, 110, 311, 0.1223, 4:14:27.123979, 0
9, 10, 10, 311, 0.1625, 4:15:50.547241, 1
9, 10, 20, 311, 0.1403, 4:16:47.026945, 1
9, 10, 30, 311, 0.1703, 4:17:43.269783, 1
9, 10, 40, 311, 0.1489, 4:18:39.742950, 1
9, 10, 50, 311, 0.1561, 4:19:36.337731, 1
9, 10, 60, 311, 0.1337, 4:20:32.497560, 1
9, 10, 70, 311, 0.1613, 4:21:29.093048, 1
9, 10, 80, 311, 0.1727, 4:22:25.604512, 1
9, 10, 90, 311, 0.1393, 4:23:22.617525, 1
9, 10, 100, 311, 0.1332, 4:24:19.521727, 1
9, 10, 110, 311, 0.1490, 4:25:16.395984, 1
9, 10, 120, 311, 0.1464, 4:26:13.060455, 1
9, 10, 130, 311, 0.1512, 4:27:10.187258, 1
9, 10, 140, 311, 0.1636, 4:28:07.529284, 1
9, 10, 150, 311, 0.1705, 4:29:04.664878, 1
9, 10, 160, 311, 0.1341, 4:30:01.817124, 1
9, 10, 170, 311, 0.1487, 4:30:58.935752, 1
9, 10, 180, 311, 0.1356, 4:31:56.202885, 1
9, 10, 190, 311, 0.1468, 4:32:53.645274, 1
9, 10, 200, 311, 0.1570, 4:33:50.652936, 1
9, 10, 210, 311, 0.1401, 4:34:48.184203, 1
9, 10, 220, 311, 0.1469, 4:35:45.574756, 1
9, 10, 230, 311, 0.1671, 4:36:42.959564, 1
9, 10, 240, 311, 0.1457, 4:37:40.200676, 1
9, 10, 250, 311, 0.1600, 4:38:37.660683, 1
