Epoch, Tot Epochs, Iter, Tot Iters, loss, Elapsed time, training=1/validation=0
8, 10, 170, 311, 0.1474, 3:46:52.024572, 1
8, 10, 180, 311, 0.1282, 3:47:47.979140, 1
8, 10, 190, 311, 0.1209, 3:48:44.169938, 1
8, 10, 200, 311, 0.1217, 3:49:41.130700, 1
8, 10, 210, 311, 0.1170, 3:50:37.756467, 1
8, 10, 220, 311, 0.1367, 3:51:34.490856, 1
8, 10, 230, 311, 0.1457, 3:52:31.291161, 1
8, 10, 240, 311, 0.1352, 3:53:27.947183, 1
8, 10, 250, 311, 0.1622, 3:54:24.835279, 1
8, 10, 260, 311, 0.1337, 3:55:22.562699, 1
8, 10, 270, 311, 0.1352, 3:56:19.667982, 1
8, 10, 280, 311, 0.1449, 3:57:16.660874, 1
8, 10, 290, 311, 0.1548, 3:58:13.779896, 1
8, 10, 300, 311, 0.1326, 3:59:11.026274, 1
8, 10, 310, 311, 0.1299, 4:00:07.939036, 1
8, 10, 10, 311, 0.1264, 4:00:40.327279, 0
8, 10, 20, 311, 0.1318, 4:01:09.994821, 0
8, 10, 30, 311, 0.1143, 4:01:42.142669, 0
8, 10, 40, 311, 0.1363, 4:02:10.857978, 0
8, 10, 50, 311, 0.1045, 4:02:42.515218, 0
8, 10, 60, 311, 0.1204, 4:03:13.584992, 0
8, 10, 70, 311, 0.1001, 4:03:44.292264, 0
8, 10, 80, 311, 0.1302, 4:04:13.453453, 0
8, 10, 90, 311, 0.1266, 4:04:45.206967, 0
8, 10, 100, 311, 0.1337, 4:05:15.149403, 0
8, 10, 110, 311, 0.1207, 4:05:43.491719, 0
9, 10, 10, 311, 0.1338, 4:07:03.107991, 1
9, 10, 20, 311, 0.1543, 4:07:59.362634, 1
9, 10, 30, 311, 0.1313, 4:08:55.534604, 1
9, 10, 40, 311, 0.1428, 4:09:51.841658, 1
9, 10, 50, 311, 0.1288, 4:10:48.155790, 1
9, 10, 60, 311, 0.1370, 4:11:44.404318, 1
9, 10, 70, 311, 0.1570, 4:12:40.673975, 1
9, 10, 80, 311, 0.1383, 4:13:37.098209, 1
9, 10, 90, 311, 0.1376, 4:14:33.374299, 1
9, 10, 100, 311, 0.1453, 4:15:29.691077, 1
9, 10, 110, 311, 0.1257, 4:16:26.372951, 1
9, 10, 120, 311, 0.1389, 4:17:23.353297, 1
9, 10, 130, 311, 0.1693, 4:18:20.454380, 1
9, 10, 140, 311, 0.1280, 4:19:17.333146, 1
9, 10, 150, 311, 0.1647, 4:20:14.459367, 1
9, 10, 160, 311, 0.1345, 4:21:11.794174, 1
9, 10, 170, 311, 0.1490, 4:22:09.095639, 1
9, 10, 180, 311, 0.1344, 4:23:06.376939, 1
9, 10, 190, 311, 0.1337, 4:24:03.522910, 1
9, 10, 200, 311, 0.1343, 4:25:00.832862, 1
9, 10, 210, 311, 0.1265, 4:25:58.431980, 1
9, 10, 220, 311, 0.1465, 4:26:55.870016, 1
9, 10, 230, 311, 0.1327, 4:27:53.366096, 1
9, 10, 240, 311, 0.1228, 4:28:51.181688, 1
9, 10, 250, 311, 0.1354, 4:29:48.421832, 1
9, 10, 260, 311, 0.1194, 4:30:45.827323, 1
9, 10, 270, 311, 0.1509, 4:31:43.304199, 1
9, 10, 280, 311, 0.1150, 4:32:40.703506, 1
9, 10, 290, 311, 0.1468, 4:33:37.915876, 1
9, 10, 300, 311, 0.1367, 4:34:35.575862, 1
9, 10, 310, 311, 0.1223, 4:35:32.903413, 1
9, 10, 10, 311, 0.1288, 4:36:10.047125, 0
9, 10, 20, 311, 0.1200, 4:36:41.069423, 0
9, 10, 30, 311, 0.1249, 4:37:12.031667, 0
9, 10, 40, 311, 0.1180, 4:37:44.069217, 0
9, 10, 50, 311, 0.1207, 4:38:12.079349, 0
9, 10, 60, 311, 0.1342, 4:38:43.029166, 0
9, 10, 70, 311, 0.1140, 4:39:14.513554, 0
9, 10, 80, 311, 0.1450, 4:39:45.440581, 0
9, 10, 90, 311, 0.1206, 4:40:15.025143, 0
9, 10, 100, 311, 0.1171, 4:40:46.053076, 0
9, 10, 110, 311, 0.1207, 4:41:17.164481, 0
10, 10, 10, 311, 0.1337, 4:42:41.004533, 1
10, 10, 20, 311, 0.1451, 4:43:37.486692, 1
10, 10, 30, 311, 0.1480, 4:44:33.898297, 1
10, 10, 40, 311, 0.1323, 4:45:30.267025, 1
10, 10, 50, 311, 0.1429, 4:46:26.758565, 1
10, 10, 60, 311, 0.1328, 4:47:23.244886, 1
10, 10, 70, 311, 0.1476, 4:48:19.760645, 1
10, 10, 80, 311, 0.1246, 4:49:16.603688, 1
10, 10, 90, 311, 0.1363, 4:50:12.873124, 1
10, 10, 100, 311, 0.1448, 4:51:09.387216, 1
10, 10, 110, 311, 0.1381, 4:52:06.459165, 1
10, 10, 120, 311, 0.1211, 4:53:03.844035, 1
10, 10, 130, 311, 0.1249, 4:54:01.113497, 1
10, 10, 140, 311, 0.1312, 4:54:58.721253, 1
10, 10, 150, 311, 0.1245, 4:55:56.176096, 1
10, 10, 160, 311, 0.1312, 4:56:53.462561, 1
10, 10, 170, 311, 0.1357, 4:57:50.960927, 1
10, 10, 180, 311, 0.1170, 4:58:48.840767, 1
10, 10, 190, 311, 0.1387, 4:59:51.463817, 1
10, 10, 200, 311, 0.1159, 5:00:49.466100, 1
10, 10, 210, 311, 0.1343, 5:01:47.079068, 1
